,bTOP,bJUG,bMID,bADC,bSUP,rTOP,rJUG,rMID,rADC,rSUP,win
0,Graves,LeeSin,Ryze,Ezreal,Karma,Kennen,Gragas,Draven,Caitlyn,Lux,True
0,Yone,LeeSin,Sylas,Jhin,Karma,Akali,Graves,Camille,Jinx,Yuumi,True
0,Kennen,Kindred,Yone,Jinx,Thresh,Graves,Nocturne,Zoe,Ziggs,Rakan,False
0,Jayce,Viego,Leblanc,Vayne,Galio,Kalista,LeeSin,Lissandra,Samira,Sylas,False
0,Yone,Taliyah,Graves,Jinx,Braum,Gwen,Talon,Ryze,Draven,Thresh,True
0,Vayne,Viego,TwistedFate,Jinx,Lulu,Camille,Nidalee,Galio,Kaisa,Rell,True
0,Irelia,Talon,Zoe,Jinx,Lulu,Viktor,Viego,Vex,Caitlyn,Thresh,True
0,Camille,Graves,Corki,Aphelios,Thresh,Gwen,LeeSin,Galio,Jinx,Lulu,False
0,Viktor,Hecarim,Ryze,Lucian,Nami,Jayce,Talon,Zoe,Jinx,Leona,True
0,Gragas,Taliyah,Irelia,Aphelios,Thresh,Graves,Nidalee,Sylas,Jinx,Nautilus,False
0,Gangplank,Taric,Yone,Ziggs,Maokai,Jayce,Talon,Sylas,Vayne,Leona,False
0,Jayce,Hecarim,Viktor,Jinx,Thresh,Ryze,Graves,Katarina,Aphelios,Lulu,False
0,Renekton,Talon,Akali,Aphelios,Leona,Kennen,Viego,Katarina,Caitlyn,Morgana,False
0,Gragas,Graves,Galio,Draven,Alistar,Yasuo,Taliyah,Quinn,Ezreal,Leona,True
0,Renekton,Talon,Fizz,Jhin,Pyke,Camille,LeeSin,Anivia,Aphelios,Yuumi,True
0,Sylas,Yone,Graves,Ashe,Pyke,Gragas,Viego,Syndra,Aphelios,Lulu,False
0,LeeSin,Diana,Graves,Yasuo,Senna,Ornn,XinZhao,Ekko,Jinx,Lulu,True
0,Vladimir,Nunu,Zed,Ashe,Zilean,Yone,Talon,Sylas,Ezreal,Xerath,False
0,Yasuo,Gragas,Yone,Xayah,Leona,Viego,Talon,Leblanc,Jhin,Nautilus,False
0,Renekton,Nidalee,Viego,Jhin,Lulu,Quinn,Karthus,Jayce,Jinx,Thresh,False
0,Camille,Zac,Orianna,Kalista,Bard,Riven,Talon,Zoe,Tristana,Lulu,True
0,Renekton,LeeSin,Sylas,Xayah,Bard,Jayce,Nidalee,Irelia,Jhin,Rakan,True
0,Yone,Talon,Zoe,Jhin,Leona,Irelia,Graves,Ahri,Caitlyn,Gragas,True
0,Renekton,Nidalee,Syndra,Lucian,Nami,Aatrox,Talon,Ryze,Caitlyn,Karma,False
0,Gnar,Zac,Vex,Jhin,Neeko,Renekton,Nidalee,Viktor,Caitlyn,Bard,False
0,Renekton,LeeSin,TwistedFate,Ziggs,Bard,Volibear,Hecarim,Ryze,Kaisa,Rakan,False
0,Gragas,Talon,Sylas,Vayne,Leona,Renekton,LeeSin,Katarina,Ziggs,Galio,True
0,Pantheon,LeeSin,Katarina,Jhin,Bard,Aatrox,Graves,Syndra,Kaisa,Leona,False
0,Jax,LeeSin,Leblanc,Jinx,Thresh,Camille,Talon,Zoe,Samira,Rakan,False
0,Irelia,LeeSin,Zoe,Jhin,Leona,Quinn,Nidalee,Yasuo,MissFortune,Rakan,False
0,Graves,Lillia,Zed,Tristana,Alistar,Shyvana,LeeSin,Leblanc,Draven,Gragas,True
0,Rumble,Diana,Yasuo,Jhin,Neeko,Fiora,Gragas,Galio,Kindred,Lulu,False
0,Sion,Nidalee,Kassadin,Caitlyn,Lux,Renekton,Ekko,Leblanc,Jhin,Pyke,True
0,Camille,LeeSin,Leblanc,Jhin,Lux,Gangplank,Graves,Lissandra,Jinx,Karma,False
0,Azir,Taliyah,Tryndamere,Kaisa,Nautilus,Camille,Talon,Leblanc,Aphelios,Thresh,False
0,Ornn,LeeSin,Akshan,Aphelios,Thresh,Rengar,Graves,Seraphine,Jinx,Nautilus,False
0,Jayce,LeeSin,Vex,KogMaw,Lulu,Azir,Gragas,Yasuo,Aphelios,Thresh,False
0,Riven,Talon,Vex,Cassiopeia,Maokai,Gangplank,Ekko,Katarina,Yasuo,Gragas,False
0,Warwick,Talon,Akali,Jinx,Morgana,Renekton,Nidalee,Galio,Jhin,Leona,True
0,Renekton,Nidalee,Syndra,Jhin,Nautilus,LeeSin,Talon,Vex,Jinx,Thresh,True
0,Fiora,XinZhao,Syndra,Lucian,Bard,Camille,Trundle,Vex,Jhin,Rakan,True
0,Camille,Ekko,Yone,Vayne,Poppy,Irelia,Lillia,TwistedFate,Jhin,Thresh,True
0,Teemo,LeeSin,Akali,Xayah,Galio,Singed,Lillia,Yasuo,Lucian,Rakan,False
0,Camille,Viego,Sylas,KogMaw,Lulu,Darius,Lillia,Akshan,Aphelios,Leona,False
0,Camille,XinZhao,Ryze,Lucian,Pyke,Riven,Khazix,Orianna,Aphelios,Lulu,True
0,Fiora,Elise,Leblanc,Aphelios,Karma,Jayce,Graves,Lissandra,Caitlyn,Yuumi,False
0,Graves,Lillia,Riven,Jhin,Blitzcrank,Singed,Viego,Yone,Aphelios,Lulu,True
0,Lulu,Graves,Katarina,MissFortune,Nautilus,Poppy,Viego,Xerath,Lucian,Nami,False
0,Sett,Nidalee,TwistedFate,Lucian,Nami,Sejuani,XinZhao,Zoe,MissFortune,Leona,False
0,Graves,Poppy,Orianna,Jinx,Lulu,Jax,Nidalee,Talon,Aphelios,Thresh,True
0,Camille,Viego,Galio,Aphelios,Pyke,Fizz,Graves,Leblanc,Jinx,Blitzcrank,False
0,Camille,Lillia,TwistedFate,Ashe,Senna,Irelia,LeeSin,Sylas,Aphelios,Thresh,True
0,Fiora,Talon,Akali,Aphelios,Alistar,Gragas,Lillia,Yasuo,MissFortune,Yuumi,True
0,Jax,LeeSin,Vex,Jinx,Braum,Camille,Lillia,Yone,Aphelios,Thresh,False
0,Poppy,Talon,Cassiopeia,Yasuo,Rakan,Riven,Graves,Vex,MissFortune,Maokai,True
0,Fiora,Qiyana,Sylas,MissFortune,Lulu,Shen,Taliyah,Irelia,Aphelios,Thresh,True
0,Kennen,Graves,Zoe,Aphelios,Lulu,Vladimir,Kindred,Sylas,MissFortune,Karma,False
0,Kennen,Lillia,Yone,MissFortune,Yuumi,Graves,Zac,Zoe,Kaisa,Nautilus,False
0,Camille,Lillia,Vex,Aphelios,Yuumi,Shen,Ekko,Graves,Jinx,Senna,True
0,Sett,Graves,Vex,Draven,Leona,Sylas,Vi,Yasuo,Taliyah,Gragas,False
0,Shen,FiddleSticks,Akshan,Ezreal,Rakan,Mordekaiser,Nidalee,Zed,MissFortune,Amumu,True
0,Darius,Zed,Cassiopeia,Draven,Thresh,Camille,XinZhao,Sylas,Ezreal,Nautilus,False
0,Lulu,LeeSin,Taliyah,Draven,Sett,Akshan,Ekko,Irelia,MissFortune,Yuumi,True
0,Jax,Graves,Galio,Aphelios,Braum,Camille,Lillia,Orianna,Draven,Leona,False
0,Kennen,LeeSin,Qiyana,Ziggs,Ashe,Tryndamere,Shaco,Renekton,Ezreal,Karma,False
0,Viktor,Kindred,Syndra,Aphelios,Leona,Jayce,LeeSin,Ryze,Jhin,Maokai,False
0,Poppy,Talon,Sylas,Aphelios,Thresh,Camille,Sejuani,TwistedFate,Caitlyn,Lux,True
0,Jayce,Talon,TwistedFate,Twitch,Thresh,Irelia,LeeSin,Lissandra,Vayne,Trundle,False
0,Poppy,Viego,TwistedFate,Jhin,Rakan,Graves,LeeSin,Leblanc,Tryndamere,Karma,False
0,Camille,Viego,Galio,Jhin,Rakan,Riven,LeeSin,Katarina,Caitlyn,Maokai,False
0,Jax,Zac,Irelia,Lucian,Nami,Kindred,LeeSin,Katarina,Draven,Rell,True
0,Renekton,Shaco,Sylas,Jhin,Karma,Rumble,Zed,TwistedFate,Ezreal,Yuumi,False
0,Vayne,Viego,Sylas,Ziggs,Rakan,Jayce,Karthus,Riven,Xayah,Lux,True
0,Camille,LeeSin,Leblanc,Kalista,JarvanIV,Lulu,Graves,Lissandra,Jinx,Rakan,True
0,Gragas,LeeSin,Lissandra,Jhin,Galio,Irelia,Ekko,Yone,Ziggs,Rakan,False
0,Irelia,XinZhao,Zoe,Kaisa,Pyke,Riven,Graves,Galio,Ezreal,Bard,True
0,Gwen,Viego,Leblanc,Jhin,Leona,Gragas,LeeSin,Lissandra,Xayah,Galio,True
0,Renekton,Ekko,Ryze,Ashe,Thresh,Kennen,Graves,Zoe,Jhin,Blitzcrank,True
0,Gwen,Hecarim,Lissandra,Jinx,Thresh,Sylas,Talon,Leblanc,Lucian,Lulu,False
0,Kennen,Taliyah,Qiyana,Jhin,Rakan,JarvanIV,Graves,Akali,Ziggs,Alistar,True
0,Galio,Shaco,Katarina,Jhin,Leona,Camille,Talon,Lissandra,Aphelios,Lulu,False
0,Sylas,Hecarim,TwistedFate,Samira,Leona,Gragas,Shaco,Akali,Jhin,Rakan,True
0,Akshan,Graves,Sylas,Lucian,Nami,Gnar,Shaco,TwistedFate,Aphelios,Lulu,True
0,Renekton,Elise,Pantheon,Lucian,Nautilus,Teemo,LeeSin,Sylas,Caitlyn,Nami,False
0,Jayce,Zed,Galio,Lucian,Nami,Kennen,LeeSin,Riven,Draven,Leona,False
0,Riven,Karthus,Akshan,Kalista,Nami,Jayce,LeeSin,TwistedFate,Lucian,Rakan,False
0,Graves,Talon,Lissandra,Jinx,Thresh,Renekton,LeeSin,Leblanc,Aphelios,Blitzcrank,True
0,Jayce,Shaco,Leblanc,Ezreal,Yuumi,Malphite,Kayn,Syndra,Xayah,Rakan,False
0,Riven,Poppy,Yasuo,Aphelios,Zilean,Graves,Taliyah,Jayce,Ziggs,Leona,False
0,Riven,Graves,Syndra,Vayne,Leona,Gangplank,Poppy,Kassadin,LeeSin,Yuumi,False
0,Jayce,Hecarim,Leblanc,Aphelios,Thresh,Camille,LeeSin,Lissandra,MissFortune,Bard,False
0,Tryndamere,Talon,Ryze,Jhin,Gragas,Teemo,Graves,Sylas,Lucian,Nami,False
0,Gwen,Zac,Zed,MissFortune,Leona,Singed,Ekko,Irelia,Jhin,Yuumi,True
0,Sylas,Graves,Orianna,Draven,Lulu,Kennen,LeeSin,Vex,Lucian,Nami,False
0,TahmKench,Olaf,Corki,Lucian,Nami,Lillia,Viego,Ryze,Yasuo,Thresh,False
0,Gangplank,Viego,Leblanc,Samira,Leona,Ryze,Talon,TwistedFate,Jhin,Morgana,False
0,Kennen,Graves,Vex,MissFortune,Thresh,Camille,Nidalee,Zed,Cassiopeia,Nautilus,True
0,Vex,LeeSin,Lissandra,Jhin,Rakan,Gangplank,Talon,Leblanc,Caitlyn,Nami,True
0,Pantheon,Rumble,Irelia,Jhin,Alistar,Camille,Talon,Ryze,Lucian,Yuumi,False
0,Jax,Talon,Azir,Jhin,Xerath,Jayce,Nidalee,Zoe,Lucian,Nautilus,False
0,Camille,Poppy,Ryze,Ezreal,Galio,Jax,Trundle,TwistedFate,Lucian,Nami,True
0,Camille,LeeSin,TwistedFate,Karthus,Rakan,Fiora,Zed,Vex,MissFortune,Zilean,True
0,Aatrox,Nidalee,Taliyah,Lucian,Nami,TahmKench,Kayn,TwistedFate,Aphelios,Thresh,False
0,Graves,Viego,Qiyana,Ziggs,Rakan,Gragas,Diana,Yasuo,Vayne,Shen,False
0,Fiora,Hecarim,Sylas,MissFortune,Lux,Jayce,Ekko,Irelia,Lucian,Nami,True
0,Yone,Kindred,Lulu,MissFortune,Pantheon,Heimerdinger,Graves,Zoe,Ziggs,Pyke,False
0,Camille,XinZhao,Lissandra,Caitlyn,Nami,Gwen,LeeSin,Leblanc,Lucian,Pantheon,True
0,Kennen,JarvanIV,Syndra,Jhin,Yuumi,Ryze,Olaf,Sylas,Aphelios,Poppy,False
0,Gwen,Olaf,TwistedFate,Ezreal,Yuumi,Poppy,Lillia,Yasuo,Lucian,Nami,False
0,Aatrox,LeeSin,Sylas,Lucian,Nami,Graves,Qiyana,TwistedFate,Draven,Lulu,False
0,Quinn,Udyr,TwistedFate,Jhin,Karma,Graves,Qiyana,Ryze,MissFortune,Yuumi,True
0,Malphite,Graves,Yasuo,Jinx,Thresh,Yone,Nidalee,Jayce,MissFortune,Bard,True
0,Kennen,LeeSin,Sylas,Aphelios,Thresh,Malphite,Nidalee,Yone,Draven,Lux,False
0,Ryze,XinZhao,Zoe,MissFortune,Amumu,Graves,Nidalee,Irelia,Jhin,Bard,False
0,Gragas,Talon,Ryze,Jinx,Thresh,Jayce,Viego,Vex,Jhin,Rakan,False
0,Graves,Rumble,Corki,Aphelios,Alistar,Jayce,Taliyah,Galio,Ezreal,Leona,True
0,Jayce,LeeSin,Vex,Lucian,Nami,Yone,Qiyana,Syndra,Twitch,Rakan,True
0,Jax,XinZhao,Zoe,Lucian,Nami,Akshan,Nidalee,Viktor,Jinx,Lulu,True
0,Jayce,Chogath,Graves,Lucian,Yuumi,Tryndamere,Poppy,Akali,Caitlyn,Lux,True
0,Yone,Taliyah,TwistedFate,Tristana,Rell,Jax,Ekko,Tryndamere,Jhin,Trundle,False
0,Camille,Ekko,Qiyana,Ezreal,Rakan,Akali,XinZhao,Sylas,Vayne,Pyke,True
0,Jayce,Diana,Yasuo,Jhin,Leona,Riven,Graves,Akali,Draven,Thresh,False
0,Kindred,Viego,Leblanc,Xayah,Blitzcrank,Riven,LeeSin,TwistedFate,Jinx,Lux,False
0,Gangplank,Viego,Sylas,Twitch,Lulu,Jayce,Rumble,Qiyana,Vayne,Nami,True
0,Viktor,Talon,Yone,Kalista,Rakan,Fiora,Evelynn,Sylas,Lucian,Yuumi,False
0,Irelia,Graves,Viktor,Jinx,Thresh,Jayce,LeeSin,Galio,Caitlyn,Braum,True
0,Vladimir,Viego,Viktor,Caitlyn,Lux,Fiora,LeeSin,Ekko,Jinx,Thresh,False
0,Jayce,Viego,Zoe,Lucian,Nami,Rumble,Taliyah,Renekton,Kaisa,Pyke,True
0,Rumble,Talon,Sylas,Draven,Pyke,Renekton,Nidalee,Camille,Kindred,Maokai,False
0,Akshan,Ekko,Irelia,Jinx,Thresh,Quinn,Zed,Viktor,Caitlyn,Morgana,True
0,Yone,LeeSin,Leblanc,Xayah,Galio,Irelia,Hecarim,Viktor,MissFortune,Rakan,False
0,Jayce,Zed,Taliyah,Jhin,Nautilus,Akshan,Viego,Corki,Lucian,Nami,True
0,Akali,XinZhao,TwistedFate,Caitlyn,Lux,Trundle,Poppy,Viktor,Jinx,Thresh,True
0,Poppy,LeeSin,Syndra,Jhin,Rakan,Zac,Viego,Leblanc,Caitlyn,Lulu,False
0,Graves,Poppy,Corki,Varus,Alistar,Singed,Taliyah,Katarina,Caitlyn,Rell,True
0,Camille,Nocturne,Zoe,Jinx,Karma,Fiora,Ekko,Yone,Lucian,Nami,False
0,Jayce,Ekko,Yone,Lucian,Nami,Vi,Nocturne,Leblanc,Aphelios,Lulu,True
0,Viktor,Nidalee,Yone,Caitlyn,Karma,Jayce,Diana,Irelia,Ashe,Lulu,False
0,Irelia,Ekko,Renekton,Lucian,Trundle,Akshan,Poppy,Akali,Aphelios,Thresh,False
0,Vayne,Talon,Zoe,Aphelios,Lulu,Graves,Nidalee,Syndra,Lucian,Nami,True
0,Sylas,Hecarim,Yone,Jinx,Lulu,Gragas,Gwen,Qiyana,Lucian,Yuumi,True
0,Renekton,Nocturne,Sylas,Jhin,Rakan,Yasuo,LeeSin,Corki,Lucian,Nami,False
0,Yone,XinZhao,Leblanc,Aphelios,Thresh,Renekton,Ekko,Zoe,Jinx,Nautilus,False
0,Renekton,Taliyah,TwistedFate,Draven,Leona,Vayne,LeeSin,Galio,Caitlyn,Lux,True
0,Jax,XinZhao,Viego,Lucian,Lulu,Yone,Nocturne,Ryze,Caitlyn,Nami,False
0,Gwen,Graves,Syndra,Caitlyn,Lux,Jayce,Zac,Vex,Jinx,Lulu,True
0,Vayne,Poppy,Akali,Aphelios,Thresh,Akshan,Zed,Vex,Jinx,Lulu,False
0,Camille,Ekko,Yasuo,Jinx,Thresh,Jax,XinZhao,Ryze,Lucian,Nami,False
0,Kennen,LeeSin,Zoe,Jinx,Rakan,Gwen,Rengar,Syndra,Caitlyn,Thresh,True
0,Graves,Kayn,Syndra,Jinx,Lulu,Jayce,Taliyah,Irelia,Ezreal,Yuumi,False
0,Jayce,Diana,Yasuo,Jhin,Rakan,Gwen,Poppy,Vex,Xayah,Thresh,True
0,Irelia,Graves,Leblanc,Ezreal,Rakan,Fiora,Hecarim,Ryze,Jinx,Thresh,True
0,Jayce,LeeSin,Lissandra,Syndra,Pyke,Renekton,Poppy,Leblanc,Lucian,Leona,False
0,Tryndamere,Lillia,Sett,Samira,Rell,Jax,Graves,Galio,Vayne,Rakan,True
0,Fiora,Nidalee,Qiyana,Jhin,Nami,Aatrox,Graves,Sylas,Lucian,Yuumi,True
0,Graves,LeeSin,Sylas,Jhin,Yuumi,Sejuani,Qiyana,Zoe,Draven,Lulu,False
0,LeeSin,Hecarim,Syndra,Kaisa,Nautilus,Renekton,Nidalee,Akshan,Lucian,Nami,True
0,LeeSin,Ekko,Yasuo,Jhin,Maokai,Camille,Shaco,Zoe,Caitlyn,Lux,False
0,Gwen,RekSai,Vex,Xayah,Leona,Viego,Nidalee,Orianna,Kaisa,Rakan,True
0,Irelia,RekSai,Vex,Kindred,Lulu,Graves,Karthus,Zilean,Caitlyn,Pyke,False
0,Irelia,Zac,Yasuo,Ziggs,Leona,Sett,Graves,Ryze,Ezreal,Rakan,True
0,Graves,Talon,Ryze,Kalista,Taliyah,Gwen,LeeSin,Akali,Tristana,Taric,False
0,Renekton,Nidalee,Akshan,MissFortune,Yuumi,Irelia,LeeSin,Vex,Kalista,Leona,True
0,DrMundo,Kindred,Ryze,Vayne,Galio,Rumble,Graves,Vex,Jhin,Rell,True
0,Irelia,Talon,Ryze,Caitlyn,Lux,Jayce,Poppy,Viktor,Lucian,Karma,True
0,Akali,Poppy,Yone,Jinx,Karma,Jayce,Talon,Viktor,Aphelios,Lulu,False
0,Vayne,Diana,Yasuo,Ezreal,Gragas,Camille,Udyr,Akali,Jhin,Alistar,False
0,Yone,Diana,Yasuo,Jhin,Yuumi,Graves,Talon,Sylas,Ezreal,Leona,False
0,Yone,Poppy,Viktor,Vayne,Lulu,Jax,Nidalee,Corki,Caitlyn,Pyke,False
0,Galio,Graves,Tryndamere,Lux,Rakan,Akali,Nidalee,Vayne,Twitch,Zac,True
0,Camille,XinZhao,Ryze,Xayah,Leona,Jax,LeeSin,TwistedFate,Draven,Alistar,True
0,Ryze,Graves,Syndra,Lucian,Nami,Kennen,LeeSin,Corki,Ezreal,Pyke,False
0,Viktor,Rengar,Zoe,Jhin,Karma,Yone,LeeSin,Syndra,Jinx,Lulu,False
0,Graves,Talon,Akali,Twitch,Lulu,Kennen,Poppy,Yasuo,Kalista,Alistar,False
0,Jayce,Hecarim,Sylas,Jhin,TahmKench,MonkeyKing,Talon,Syndra,Jinx,Lulu,True
0,Jayce,XinZhao,Akali,Caitlyn,Blitzcrank,Gragas,LeeSin,Yone,Ziggs,Shen,True
0,Vladimir,XinZhao,Irelia,Caitlyn,Lulu,Camille,LeeSin,Katarina,Yasuo,Lux,True
0,Jayce,LeeSin,Syndra,Lucian,Leona,Poppy,Zac,Yone,Samira,Nautilus,True
0,Gwen,LeeSin,Vex,Jhin,Yuumi,Camille,Talon,Syndra,Caitlyn,Lux,True
0,TahmKench,Talon,Taliyah,Twitch,Leona,Akshan,LeeSin,Ryze,Aphelios,Thresh,True
0,Jayce,Viego,Ryze,Jinx,Thresh,Aatrox,LeeSin,Corki,Samira,Rell,False
0,Yone,JarvanIV,Syndra,Aphelios,Karma,Jayce,Talon,Akali,Caitlyn,Lux,False
0,DrMundo,Diana,Graves,Xayah,Karma,Sion,Viego,Syndra,Caitlyn,Lux,True
0,Viego,Rengar,Zoe,Lucian,Yuumi,Camille,LeeSin,Syndra,Caitlyn,Karma,False
0,Graves,Rengar,Vex,Jinx,Thresh,Rumble,Zed,Jayce,Jhin,Nautilus,False
0,Graves,Talon,Ryze,Jinx,Lulu,DrMundo,Rengar,TwistedFate,Aphelios,Thresh,True
0,Jayce,XinZhao,Ryze,Kaisa,Camille,MonkeyKing,Graves,Syndra,Jhin,Leona,False
0,Malphite,Zed,Yone,Xayah,Leona,Jayce,Viego,TwistedFate,Jhin,Rakan,True
0,Yone,Poppy,Ryze,Jinx,Sett,Jayce,RekSai,Syndra,Xayah,DrMundo,False
0,Yone,Zac,Sylas,Caitlyn,Morgana,Gwen,LeeSin,XinZhao,Jhin,Thresh,True
0,Jax,Nidalee,Sylas,Yasuo,Rakan,Akshan,Graves,Lissandra,Yone,Taric,True
0,Tryndamere,Zac,Yone,Lucian,Nami,Akshan,XinZhao,Akali,Jinx,Thresh,False
0,Irelia,Rumble,Zoe,Samira,Gragas,Viktor,Viego,Syndra,Aphelios,Rakan,False
0,Renekton,Talon,Zoe,Jhin,Zac,Lillia,Rengar,TwistedFate,Jinx,Janna,False
0,Gwen,Talon,Orianna,Caitlyn,Thresh,Camille,Poppy,Galio,Jinx,Lulu,False
0,Poppy,Talon,Ryze,Jinx,Lulu,Vladimir,LeeSin,Syndra,Caitlyn,Thresh,True
0,Jayce,Talon,Syndra,Caitlyn,Braum,Gwen,Zed,Lux,Kaisa,Leona,True
0,Azir,Talon,Orianna,Yasuo,Pyke,Irelia,Warwick,Akali,Jinx,Thresh,False
0,Yone,LeeSin,TwistedFate,Rakan,Vayne,Jayce,JarvanIV,Sylas,Xayah,Lux,True
0,Jax,Talon,Zoe,Caitlyn,Lux,Yone,Nidalee,Syndra,Aphelios,Lulu,False
0,Jayce,Talon,TwistedFate,Jhin,Zilean,Renekton,Taliyah,Yone,Xayah,Rakan,True
0,Irelia,Kindred,TwistedFate,Lucian,Lulu,Jayce,Nidalee,Sylas,Caitlyn,Karma,True
0,Jayce,LeeSin,Ryze,Ezreal,Braum,Irelia,Taliyah,Qiyana,Jhin,Trundle,True
0,Akshan,Nidalee,Yone,Xayah,Rakan,Tryndamere,Ekko,Pantheon,Aphelios,Lulu,True
0,Graves,Talon,Zoe,Jinx,Alistar,Viktor,XinZhao,Syndra,Jhin,Rakan,False
0,Gangplank,Taric,Yone,Ziggs,Maokai,Jayce,Talon,Sylas,Vayne,Leona,False
0,Camille,Talon,Galio,Jinx,Lulu,Akshan,Poppy,TwistedFate,Caitlyn,Thresh,False
0,Yone,Talon,Anivia,Yasuo,Maokai,Malphite,Graves,Vex,Jhin,Alistar,False
0,Gragas,Talon,Yone,Ziggs,Leona,Galio,Graves,Syndra,Jinx,Braum,True
0,Graves,Nidalee,Syndra,Ezreal,Karma,Camille,Kindred,Zoe,Draven,Lux,False
0,Akshan,JarvanIV,Ryze,Jinx,Braum,Graves,RekSai,Syndra,Caitlyn,Blitzcrank,False
0,Tryndamere,LeeSin,Zoe,Caitlyn,Lux,Malphite,XinZhao,Sylas,Lucian,Nami,True
0,Kassadin,XinZhao,Ryze,Ezreal,Bard,Yone,Poppy,Viktor,MissFortune,Rakan,True
0,Camille,Graves,Galio,Lucian,Nami,Jax,Nidalee,Ryze,Caitlyn,Karma,False
0,Fiora,Ekko,Renekton,Jhin,Zac,Camille,Graves,Sylas,Jinx,Rakan,False
0,Vi,Qiyana,TwistedFate,Aphelios,Thresh,Yone,Viego,Syndra,Viktor,Morgana,False
0,MonkeyKing,LeeSin,Viktor,Caitlyn,Karma,Jayce,RekSai,Zoe,Jhin,Leona,True
0,Jayce,Graves,Vex,Xayah,Rakan,Viktor,Talon,Katarina,Varus,Nautilus,False
0,Gangplank,Nidalee,Graves,Caitlyn,Lux,Jayce,Talon,Karma,Jhin,Trundle,True
